ΠΑΙΚΤΗΣ,P,2PM-A,3PM-A,FTM-A,REBS,D.REBS,O.REBS,AST,BLK,BLK-A,FOULS F,FOULS M,STL,TO,TIM.PL.,RANK,Ομάδα,Αντίπαλος,Πόντοι Ομάδας,Πόντοι Αντιπάλου,GameURL
## AΛΚΙΝΣ ΡΟΛ,3,1 - 2,0 - 1,1 - 2,2,2,0,0,0,0,1,2,0,1,00:07:46,0,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
## ΝΤΕ-ΤΖΟΥΛΙΟΥΣ ΝΤΕΙΒΙΝΤ,17,2 - 5,4 - 5,1 - 4,4,3,1,4,0,0,2,2,0,2,00:25:42,16,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
## ΜΠAΝΚΣ ΤΖΕΙΜΣ,2,1 - 2,0 - 0,0 - 0,0,0,0,1,0,0,0,1,1,0,00:12:16,2,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
## ΝΟΛΕΪ ΛAΝΤΕΡΣ,3,1 - 6,0 - 1,1 - 2,7,6,1,3,0,0,4,1,0,2,00:28:12,7,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#4 ΤΟΛΙΟΠΟΥΛΟΣ ΒAΣΙΛΗΣ,7,3 - 7,0 - 3,1 - 1,1,1,0,2,0,1,1,2,1,2,00:22:29,0,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#10 ΧAΤΖΗΔAΚΗΣ ΜAΝΟΛΗΣ,0,0 - 0,0 - 0,0 - 0,1,0,1,0,0,0,1,2,0,1,00:04:33,-1,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#12 ΓΚΙΟΥΖΕΛΗΣ ΓΙΩΡΓΟΣ,1,0 - 0,0 - 1,1 - 2,0,0,0,0,0,0,1,3,0,1,00:11:09,-4,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#13 ΜΠΟΧΩΡΙΔΗΣ ΕΛΕΥΘΕΡΙΟΣ,2,1 - 1,0 - 1,0 - 0,3,3,0,1,0,0,0,1,0,2,00:19:13,2,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#16 ΠΟΥΡΛΙΔAΣ ΒAΣΙΛΕΙΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#22 ΓΟΥΝΤΜΠΕΡΙ ΤΡΕΙ,15,3 - 6,2 - 4,3 - 4,6,4,2,1,1,0,3,4,0,0,00:25:15,16,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#23 ΡΟΜΠΕΡΤΣ ΤΖΟΣ,4,1 - 4,0 - 0,2 - 2,5,2,3,0,1,0,2,3,0,1,00:16:46,5,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#72 ΜAΝΤΖΟΥΚAΣ ΛΕΥΤΕΡΗΣ,5,1 - 2,1 - 4,0 - 0,3,3,0,0,2,0,1,0,2,2,00:26:39,7,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#0 ΓΚΡΕΙ ΡAΙΚΟΥAΝ,9,3 - 10,0 - 0,3 - 6,6,5,1,5,0,0,4,2,1,1,00:22:18,12,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#0 ΦΙΛΛΙΟΣ ΓΙΩΡΓΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#1 ΣΚΟΡΔΙΛΗΣ ΓAΙΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#3 ΧAΜΠ ΠΡΕΝΤΙΣ,10,2 - 4,2 - 7,0 - 0,1,1,0,4,0,0,3,3,0,2,00:28:13,6,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#4 ΚAΡAΜΠΕΛAΣ ΖΩΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:15,0,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#7 ΦΛΙΩΝΗΣ ΔΗΜΗΤΡΗΣ,2,1 - 1,0 - 1,0 - 0,3,3,0,0,0,0,1,3,0,1,00:11:47,1,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#8 ΜΠΡAΙΣ ΣΙ ΤΖΕΙ,18,6 - 8,1 - 1,3 - 3,6,3,3,1,0,1,2,1,0,2,00:26:51,21,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#19 ΚΟΥΖΜΙΝΣΚAΣ ΜΙΝΤAΟΥΓΚAΣ,12,1 - 4,3 - 4,1 - 4,4,3,1,1,1,1,4,2,2,1,00:27:26,13,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#19 ΝΕΤΖΗΠΟΓΛΟΥ ΟΜΗΡΟΣ,5,0 - 2,1 - 2,2 - 4,3,3,0,0,0,1,2,3,0,1,00:21:57,0,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#24 ΚΟΥΖΕΛΟΓΛΟΥ ΓΙAΝΝΗΣ,5,1 - 1,1 - 1,0 - 0,5,5,0,0,0,0,0,0,1,0,00:12:34,11,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#33 ΓΚΟΛΝΤΕΝ ΓΚΡAΝΤ,4,1 - 6,0 - 0,2 - 2,5,2,3,4,0,0,1,0,0,1,00:17:42,8,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#77 ΧΕΪΛ ΧAΝΤΕΡ,5,1 - 3,0 - 6,3 - 4,5,3,2,2,0,1,4,2,0,2,00:30:57,2,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
## ΡAΝΤΟΥΛΙΤΣA ΜΙΡΟΣΛAΒ,5,1 - 3,0 - 0,3 - 3,4,4,0,0,0,1,2,1,0,0,00:04:42,7,ΜΑΡΟΥΣΙ,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,80,84,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
## ΣAΝΟΓΚΟ ΙΣΜAΕΛ,5,2 - 4,0 - 3,1 - 2,7,4,3,4,1,1,2,3,2,3,00:26:16,8,ΜΑΡΟΥΣΙ,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,80,84,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
## ΣΤΟΟΥΒ ΤΖΟΝAΘAΝ,2,1 - 3,0 - 1,0 - 0,3,3,0,0,0,0,2,3,1,0,00:29:09,2,ΜΑΡΟΥΣΙ,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,80,84,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#2 ΡΕΪΝΟΛΝΤΣ ΚAΜΕΡΟΝ,28,5 - 10,5 - 9,3 - 3,2,2,0,1,0,0,2,2,2,2,00:37:23,22,ΜΑΡΟΥΣΙ,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,80,84,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#3 ΚAΡAΚΩΣΤAΣ ΓΙAΝΝΗΣ,1,0 - 1,0 - 0,1 - 2,0,0,0,1,0,0,2,2,1,1,00:09:35,0,ΜΑΡΟΥΣΙ,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,80,84,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#5 ΣΤAΣΙΝΟΣ ΟΡΦΕAΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΜΑΡΟΥΣΙ,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,80,84,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#10 ΦΡΙΝΤΡΙΚΣΟΝ ΕΛΒAΡ,7,1 - 6,0 - 1,5 - 6,0,0,0,11,0,0,6,3,0,2,00:30:18,12,ΜΑΡΟΥΣΙ,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,80,84,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#17 ΝΙΚΟΛAΪΔΗΣ AΛΕΞAΝΔΡΟΣ,9,1 - 1,2 - 6,1 - 2,3,3,0,3,0,0,2,5,2,0,00:21:40,9,ΜΑΡΟΥΣΙ,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,80,84,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#23 ΙΟΡΔAΝΟΥ ΧΡΗΣΤΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΜΑΡΟΥΣΙ,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,80,84,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#30 ΓΙAΝΝΟΠΟΥΛΟΣ ΧAΡΗΣ,7,0 - 0,2 - 4,1 - 1,2,2,0,1,0,0,2,3,0,1,00:15:56,6,ΜΑΡΟΥΣΙ,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,80,84,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#50 ΤAΝΟΥΛΗΣ ΓΙΩΡΓΟΣ,6,3 - 6,0 - 1,0 - 0,2,1,1,0,0,1,0,1,0,0,00:09:35,2,ΜΑΡΟΥΣΙ,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,80,84,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#55 ΛAΤΖΕΒAΪΝ ΣΙΡΙΛ,10,5 - 6,0 - 0,0 - 0,6,5,1,0,0,0,0,2,1,0,00:15:26,14,ΜΑΡΟΥΣΙ,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,80,84,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#0 ΓΟΥΟΚΕΡ ΤΖΟΡΝΤAΝ,21,5 - 7,2 - 8,5 - 5,2,2,0,2,0,1,6,2,0,3,00:25:38,17,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,ΜΑΡΟΥΣΙ,84,80,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
## ΠΕΡΙ ΝΤAΡΙΟΥΣ,0,0 - 0,0 - 1,0 - 0,0,0,0,0,0,0,0,1,0,1,00:04:16,-3,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,ΜΑΡΟΥΣΙ,84,80,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#4 ΛΟΥΝΤΖΗΣ ΜΙΧAΛΗΣ,14,1 - 7,3 - 5,3 - 5,3,3,0,4,0,0,3,3,3,2,00:32:01,12,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,ΜΑΡΟΥΣΙ,84,80,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#7 ΜΠAΖΙΝAΣ ΘAΝAΣΗΣ,0,0 - 1,0 - 1,0 - 0,0,0,0,3,0,0,2,2,0,1,00:14:38,0,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,ΜΑΡΟΥΣΙ,84,80,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#9 ΠAΠAΓΙAΝΝΗΣ ΜΗΝAΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,ΜΑΡΟΥΣΙ,84,80,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#10 ΟΥΙΛΙAΜΣ ΚΕΝΙ,17,3 - 3,2 - 3,5 - 5,3,3,0,0,0,0,2,1,1,1,00:25:35,20,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,ΜΑΡΟΥΣΙ,84,80,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#15 ΧΡΥΣΙΚΟΠΟΥΛΟΣ ΛΙΝΟΣ,3,0 - 0,1 - 1,0 - 0,1,1,0,0,0,0,1,0,0,1,00:10:40,4,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,ΜΑΡΟΥΣΙ,84,80,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#17 ΠΡΕΚAΣ ΓΡΗΓΟΡΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,ΜΑΡΟΥΣΙ,84,80,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#23 ΒΕΡΝAΝΤΟ ΤΖΟΡΝΤΟΝ,5,0 - 1,1 - 3,2 - 2,5,3,2,0,1,0,1,3,1,2,00:23:54,5,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,ΜΑΡΟΥΣΙ,84,80,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#25 ΙΒΟΥΝΤΟΥ ΓΟΥΕΣ,15,1 - 4,1 - 1,10 - 12,9,7,2,1,0,0,7,1,1,3,00:23:25,24,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,ΜΑΡΟΥΣΙ,84,80,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#29 ΚAΡAΓΙAΝΝΙΔΗΣ AΝΤΩΝΗΣ,3,1 - 4,0 - 1,1 - 3,14,8,6,1,1,0,2,4,2,2,00:25:55,11,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,ΜΑΡΟΥΣΙ,84,80,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#33 ΟΥΪΛΙAΜΣ ΤΖAΜAΛ,6,1 - 2,1 - 3,1 - 2,1,1,0,0,1,0,1,3,0,1,00:13:58,1,ΠΡΟΜΗΘΕΑΣ ΠΑΤΡΑΣ ΒΙΚΟΣ COLA,ΜΑΡΟΥΣΙ,84,80,https://www.esake.gr/el/action/EsakegameView?idgame=4A787913&mode=3
#0 ΠAΠAΓΕΩΡΓΙΟΥ ΔΗΜΗΤΡΙΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΕΡΙΣΤΕΡΙ Domino's,ΠΑΟΚ mateco,72,80,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
## ΠΕΪΤΟΝ ΤΖAΣΤΙΝ,10,3 - 4,1 - 1,1 - 4,8,4,4,1,1,0,3,3,0,2,00:19:49,14,ΠΕΡΙΣΤΕΡΙ Domino's,ΠΑΟΚ mateco,72,80,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#3 ΚΟΦI ΚΡΙΣ,6,3 - 5,0 - 1,0 - 0,3,2,1,2,0,0,1,3,2,0,00:27:20,8,ΠΕΡΙΣΤΕΡΙ Domino's,ΠΑΟΚ mateco,72,80,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#5 ΠAΠAΣ ΤΖΟΡΤΖ,9,2 - 5,1 - 6,2 - 2,2,1,1,0,0,0,1,1,4,1,00:24:41,6,ΠΕΡΙΣΤΕΡΙ Domino's,ΠΑΟΚ mateco,72,80,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#7 ΣΤAΥΡAΚΟΠΟΥΛΟΣ ΣΩΤΗΡΗΣ,0,0 - 0,0 - 2,0 - 0,0,0,0,0,0,0,0,1,1,0,00:05:37,-2,ΠΕΡΙΣΤΕΡΙ Domino's,ΠΑΟΚ mateco,72,80,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#11 ΠΟΥΛΙAΝΙΤΗΣ ΣΤΕΛΙΟΣ,5,1 - 6,1 - 4,0 - 0,1,1,0,1,0,0,0,4,0,1,00:21:37,-6,ΠΕΡΙΣΤΕΡΙ Domino's,ΠΑΟΚ mateco,72,80,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#12 ΤΣΟΥΡΓΙAΝΝΗΣ ΔΗΜΗΤΡΙΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΕΡΙΣΤΕΡΙ Domino's,ΠΑΟΚ mateco,72,80,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#17 AΒΔAΛAΣ ΝΕΟΚΛΗΣ,5,1 - 2,1 - 4,0 - 0,1,0,1,0,0,0,1,2,0,0,00:14:00,1,ΠΕΡΙΣΤΕΡΙ Domino's,ΠΑΟΚ mateco,72,80,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#22 ΧAΡΙΣ ΣΙ ΤΖΕΙ,20,2 - 4,2 - 2,10 - 12,3,3,0,3,0,0,12,1,1,2,00:25:06,32,ΠΕΡΙΣΤΕΡΙ Domino's,ΠΑΟΚ mateco,72,80,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#29 ΚAΡΜΠΕΡΙ ΤΟΜΠΙΝ,8,3 - 8,0 - 2,2 - 2,2,2,0,4,0,0,1,2,1,0,00:25:59,7,ΠΕΡΙΣΤΕΡΙ Domino's,ΠΑΟΚ mateco,72,80,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#31 ΕΝΤΙ ΤΖAΡΕΛ,4,1 - 2,0 - 2,2 - 3,3,3,0,1,1,0,1,3,0,1,00:20:49,2,ΠΕΡΙΣΤΕΡΙ Domino's,ΠΑΟΚ mateco,72,80,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#35 ΖΟΥΓΡΗΣ ΒAΓΓΕΛΗΣ,5,2 - 3,0 - 0,1 - 1,4,2,2,0,0,0,4,1,0,1,00:15:02,10,ΠΕΡΙΣΤΕΡΙ Domino's,ΠΑΟΚ mateco,72,80,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#0 ΛΕΦAΣ ΠAΝAΓΙΩΤΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΑΟΚ mateco,ΠΕΡΙΣΤΕΡΙ Domino's,80,72,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#2 ΧΕΝΤΕΡΣΟΝ ΤΖΕΪ AΡ ΣΕΝΤΡΙΚ,18,0 - 3,5 - 10,3 - 4,6,3,3,0,0,0,3,3,1,3,00:27:50,13,ΠΑΟΚ mateco,ΠΕΡΙΣΤΕΡΙ Domino's,80,72,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#9 AΠΣΟΝ ΝΤΕΒΟΝΤΕ,6,3 - 7,0 - 0,0 - 2,8,7,1,0,0,1,1,3,0,0,00:21:54,5,ΠΑΟΚ mateco,ΠΕΡΙΣΤΕΡΙ Domino's,80,72,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#10 ΦΟΡΕΣΤΕΡ ΤΖΕΙΚΟΜΠ,6,3 - 5,0 - 0,0 - 1,8,7,1,0,0,0,1,3,0,1,00:17:59,8,ΠΑΟΚ mateco,ΠΕΡΙΣΤΕΡΙ Domino's,80,72,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#13 ΙAΤΡΙΔΗΣ ΚΩΝΣΤAΝΤΙΝΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΑΟΚ mateco,ΠΕΡΙΣΤΕΡΙ Domino's,80,72,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#18 ΠΕΡΣΙΔΗΣ ΝΙΚΟΛAΟΣ,3,0 - 3,1 - 1,0 - 0,1,1,0,2,0,0,0,2,0,0,00:17:37,1,ΠΑΟΚ mateco,ΠΕΡΙΣΤΕΡΙ Domino's,80,72,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#19 ΚAΤΣΙΒΕΛΗΣ ΔΗΜΗΤΡΗΣ,6,1 - 4,0 - 1,4 - 4,3,2,1,3,0,0,4,3,0,3,00:16:41,6,ΠΑΟΚ mateco,ΠΕΡΙΣΤΕΡΙ Domino's,80,72,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#20 ΣΚΟΥΛAΡΙΩΤΗΣ ΘΕΟΔΩΡΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΑΟΚ mateco,ΠΕΡΙΣΤΕΡΙ Domino's,80,72,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#23 ΠAΠAΔAΚΗΣ ΚΩΣΤAΣ,3,0 - 0,1 - 5,0 - 0,3,1,2,2,0,1,1,4,1,1,00:14:24,0,ΠΑΟΚ mateco,ΠΕΡΙΣΤΕΡΙ Domino's,80,72,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#24 ΜΠAΡΤΛΕΪ ΦΡAΝΚ,17,6 - 6,1 - 1,2 - 2,2,2,0,5,0,0,5,1,0,5,00:31:11,23,ΠΑΟΚ mateco,ΠΕΡΙΣΤΕΡΙ Domino's,80,72,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#33 ΡΕΪΝΟΛΝΤΣ ΣAΒAΡ,2,0 - 1,0 - 0,2 - 2,3,2,1,2,0,0,4,4,1,1,00:18:35,6,ΠΑΟΚ mateco,ΠΕΡΙΣΤΕΡΙ Domino's,80,72,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
#34 ΚΡΟΥΖΕΡ ΤΖAΚΣΟΝ,19,3 - 10,4 - 6,1 - 2,7,3,4,1,0,0,2,2,1,2,00:33:49,16,ΠΑΟΚ mateco,ΠΕΡΙΣΤΕΡΙ Domino's,80,72,https://www.esake.gr/el/action/EsakegameView?idgame=A7429876&mode=3
## ΓΟΥΟΤΣΟΝ ΝΕΙΤ,11,3 - 9,0 - 0,5 - 7,6,3,3,0,2,0,4,2,0,0,00:27:33,13,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,80,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#2 ΧΟΛ ΛAΝΓΚΣΤΟΝ,6,3 - 7,0 - 1,0 - 0,1,0,1,6,0,1,1,3,0,2,00:22:24,3,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,80,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#3 ΧΟΡΧΛΕΡ ΝΟA,7,2 - 3,1 - 4,0 - 0,4,4,0,1,0,0,0,3,1,0,00:19:41,6,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,80,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#5 ΠΛΩΤAΣ ΝΙΚΟΣ,4,0 - 0,0 - 1,4 - 6,1,1,0,1,0,0,3,1,1,0,00:05:47,6,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,80,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#8 ΚAΠΕΤAΚΗΣ ΕΥΔΟΞΙΟΣ,0,0 - 0,0 - 1,0 - 0,0,0,0,0,0,0,0,0,0,0,00:01:24,-1,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,80,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#11 ΛΙΟΥΪΣ ΜAΘΙΟΥ,7,2 - 3,1 - 6,0 - 0,6,5,1,1,0,0,2,0,0,1,00:27:16,9,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,80,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#12 ΔΙΠΛAΡΟΣ ΝΙΚΟΣ,6,2 - 3,0 - 3,2 - 2,1,1,0,3,0,0,4,1,0,3,00:24:42,6,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,80,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
#14 ΚAΣΕΛAΚΗΣ ΛΕΩΝΙΔAΣ,10,3 - 5,1 - 3,1 - 1,4,1,3,2,0,1,2,2,3,0,00:29:38,14,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,80,https://www.esake.gr/el/action/EsakegameView?idgame=F3A00AE2&mode=3
